movie_modified,genres,gross,budget,net_profit,title_year,imdb_score,image_url,dominant_colors_array,dominant_color
Skyfall,Action|Adventure|Thriller,1108561013,200000000,908561013,2012,7.8,https://m.media-amazon.com/images/M/MV5BNDVhZmJiYWMtNmIzMC00ZWNiLTkzZDYtNGNlZmViMGM4OGExXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,"[['#ececeb', 0.22555943887934155], ['#06080e', 0.6879278643948987], ['#777375', 0.08651269672575977]]",#06080e
Captain America: Civil War,Action|Adventure|Sci-Fi,1153304495,250000000,903304495,2016,7.8,https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_.jpg,"[['#645e63', 0.2588049616723951], ['#140f13', 0.5194220756828871], ['#d3d6da', 0.2217729626447178]]",#140f13
Despicable Me 2,Adventure|Animation|Comedy,970761885,76000000,894761885,2013,7.4,https://m.media-amazon.com/images/M/MV5BMjExNjAyNTcyMF5BMl5BanBnXkFtZTgwODQzMjQ3MDE@._V1_.jpg,"[['#fbfbfa', 0.5100235704037712], ['#464c53', 0.19864521418323428], ['#e2bc57', 0.29133121541299445]]",#fbfbfa
Transformers: Age of Extinction,Action|Adventure|Sci-Fi,1104039076,210000000,894039076,2014,5.7,https://m.media-amazon.com/images/M/MV5BMjEwNTg1MTA5Nl5BMl5BanBnXkFtZTgwOTg2OTM4MTE@._V1_.jpg,"[['#1c1c1c', 0.5135221503146453], ['#c8c6ba', 0.26208263312833713], ['#776c5d', 0.22439521655701755]]",#1c1c1c
Jumanji: Welcome to the Jungle,Action|Adventure|Comedy,962076292,90000000,872076292,2017,7,https://m.media-amazon.com/images/M/MV5BODQ0NDhjYWItYTMxZi00NTk2LWIzNDEtOWZiYWYxZjc2MTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#141707', 0.6270085638998683], ['#c8b15c', 0.09761264822134387], ['#5f521b', 0.2753787878787879]]",#141707
Toy Story 3,Adventure|Animation|Comedy,1063171911,200000000,863171911,2010,8.3,https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_.jpg,"[['#caa457', 0.47794236662638123], ['#5d351e', 0.347929727965297], ['#dddec4', 0.17412790540832182]]",#caa457
Harry Potter and the Sorcerer's Stone,Adventure|Family|Fantasy,974755371,125000000,849755371,2001,7.6,https://m.media-amazon.com/images/M/MV5BNjQ3NWNlNmQtMTE5ZS00MDdmLTlkZjUtZTBlM2UxMGFiMTU3XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg,"[['#0d0a08', 0.5544734450071419], ['#956b41', 0.27034930528502793], ['#cecbb9', 0.17517724970783016]]",#0d0a08
Finding Nemo,Adventure|Animation|Comedy,936743261,94000000,842743261,2003,8.1,https://m.media-amazon.com/images/M/MV5BZTAzNWZlNmUtZDEzYi00ZjA5LWIwYjEtZGM1NWE1MjE4YWRhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,"[['#0780c9', 0.369255417700579], ['#041d5b', 0.5249086848635236], ['#aadfe5', 0.10583589743589744]]",#041d5b
Pirates of the Caribbean: Dead Man's Chest,Action|Adventure|Fantasy,1066179725,225000000,841179725,2006,7.3,https://m.media-amazon.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_.jpg,"[['#1b1808', 0.5604070737404071], ['#604e27', 0.2835235235235235], ['#b39c64', 0.1560694027360694]]",#1b1808
The Hobbit: An Unexpected Journey,Adventure|Family|Fantasy,1021103568,180000000,841103568,2012,7.9,https://m.media-amazon.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_.jpg,"[['#bcb67d', 0.15388031668324892], ['#0c0a07', 0.668926586808068], ['#625a26', 0.17719309650868306]]",#0c0a07
The Dark Knight Rises,Action|Thriller,1084939099,250000000,834939099,2012,8.4,https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg,"[['#834734', 0.17889803383630545], ['#100807', 0.6995856195701875], ['#eed4a6', 0.12151634659350709]]",#100807
The Lord of the Rings: The Two Towers,Adventure|Drama|Fantasy,926047111,94000000,832047111,2002,8.7,https://m.media-amazon.com/images/M/MV5BNGE5MzIyNTAtNWFlMC00NDA2LWJiMjItMjc4Yjg1OWM5NzhhXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"[['#061d13', 0.48794919444879054], ['#afc7ae', 0.1905003283511239], ['#25785d', 0.32155047720008556]]",#061d13
Alice in Wonderland,Adventure|Family|Fantasy,1025467110,200000000,825467110,2010,6.5,https://m.media-amazon.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_.jpg,"[['#2f3021', 0.359831515387612], ['#ccd4d0', 0.29468575509674066], ['#80715b', 0.3454827295156473]]",#2f3021
Alice in Wonderland,Adventure|Family|Fantasy,1025467110,200000000,825467110,2010,6.5,https://m.media-amazon.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_.jpg,"[['#2f3021', 0.359831515387612], ['#ccd4d0', 0.29468575509674066], ['#80715b', 0.3454827295156473]]",#2f3021
The Dark Knight,Action|Crime|Drama,1004558444,185000000,819558444,2008,9,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg,"[['#061b2a', 0.5625766139054591], ['#97b9b7', 0.13326123858911787], ['#455e69', 0.304162147505423]]",#061b2a
The Secret Life of Pets,Adventure|Animation|Comedy,875457937,75000000,800457937,2016,6.5,https://m.media-amazon.com/images/M/MV5BMjIzMzA1OTkzNV5BMl5BanBnXkFtZTgwODE3MjM4NzE@._V1_.jpg,"[['#4a383d', 0.3716639254385965], ['#d8c6c6', 0.3322423245614035], ['#7078b0', 0.29609375]]",#4a383d
Ice Age: Dawn of the Dinosaurs,Adventure|Animation|Comedy,886686817,90000000,796686817,2009,7,https://m.media-amazon.com/images/M/MV5BMTMzNDkzMTcyOV5BMl5BanBnXkFtZTcwNDIzMjM2MQ@@._V1_.jpg,"[['#fdfdfb', 0.5513590909090909], ['#4e403b', 0.24175454545454544], ['#c8976e', 0.20688636363636365]]",#fdfdfb
The Jungle Book,Adventure|Drama|Family,966550600,175000000,791550600,2016,7.4,https://m.media-amazon.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_.jpg,"[['#0b130f', 0.6497685185185185], ['#ccbb7d', 0.11977448640046297], ['#5a5c3c', 0.23045699508101852]]",#0b130f
The Jungle Book,Adventure|Drama|Family,966550600,175000000,791550600,2016,7.4,https://m.media-amazon.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_.jpg,"[['#0b130f', 0.6497685185185185], ['#ccbb7d', 0.11977448640046297], ['#5a5c3c', 0.23045699508101852]]",#0b130f
Harry Potter and the Order of the Phoenix,Adventure|Family|Fantasy,939885929,150000000,789885929,2007,7.5,https://m.media-amazon.com/images/M/MV5BMTM0NTczMTUzOV5BMl5BanBnXkFtZTYwMzIxNTg3._V1_.jpg,"[['#0f0812', 0.7603970637303971], ['#c1b8af', 0.0809376042709376], ['#52484b', 0.15866533199866534]]",#0f0812
Ice Age: Continental Drift,Adventure|Animation|Comedy,879765137,95000000,784765137,2012,6.6,https://m.media-amazon.com/images/M/MV5BMTM3NDM5MzY5Ml5BMl5BanBnXkFtZTcwNjExMDUwOA@@._V1_.jpg,"[['#0b69a6', 0.5071407407407408], ['#d0e0e9', 0.3690762962962963], ['#7d4930', 0.12378296296296297]]",#0b69a6
E.T. the Extra-Terrestrial,Family|Sci-Fi,792910554,10500000,782410554,1982,7.9,https://m.media-amazon.com/images/M/MV5BMTQ2ODFlMDAtNzdhOC00ZDYzLWE3YTMtNDU4ZGFmZmJmYTczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#4c4e87', 0.33853997613807313], ['#040304', 0.3243213801382806], ['#77a3b6', 0.33713864372364627]]",#4c4e87
Harry Potter and the Chamber of Secrets,Adventure|Family|Fantasy,878979634,100000000,778979634,2002,7.4,https://m.media-amazon.com/images/M/MV5BMTcxODgwMDkxNV5BMl5BanBnXkFtZTYwMDk2MDg3._V1_.jpg,"[['#425a71', 0.19533840947546532], ['#07080d', 0.6867005076142132], ['#bfc7ca', 0.1179610829103215]]",#07080d
The Lord of the Rings: The Fellowship of the Ring,Adventure|Drama|Fantasy,871530324,93000000,778530324,2001,8.8,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,"[['#281e11', 0.4537526896680929], ['#d5cfb8', 0.2605158790289919], ['#917851', 0.2857314313029152]]",#281e11
Shrek 2,Adventure|Animation|Comedy,919838758,150000000,769838758,2004,7.2,https://m.media-amazon.com/images/M/MV5BMDJhMGRjN2QtNDUxYy00NGM3LThjNGQtMmZiZTRhNjM4YzUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#5a5538', 0.35451157065484984], ['#c7c7a4', 0.3311303134744789], ['#6099cd', 0.31435811587067125]]",#5a5538
Star Wars: Episode IV - A New Hope,Action|Adventure|Fantasy,775398007,11000000,764398007,1977,8.6,https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"[['#0e141e', 0.5615577029973917], ['#f3f3ee', 0.27005368172683347], ['#4b7283', 0.1683886152757748]]",#0e141e
Harry Potter and the Goblet of Fire,Adventure|Family|Fantasy,896911078,150000000,746911078,2005,7.7,https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_.jpg,"[['#04080c', 0.7221519939804364], ['#b2c0c8', 0.08006772009029345], ['#324e58', 0.19778028592927013]]",#04080c
Independence Day,Action|Adventure|Sci-Fi,817400891,75000000,742400891,1996,7,https://m.media-amazon.com/images/M/MV5BMGQwNDNkMmItYWY1Yy00YTZmLWE5OTAtODU0MGZmMzQ1NDdkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#703d2f', 0.23390254267939814], ['#181112', 0.6417383264612269], ['#cca264', 0.124359130859375]]",#181112
Star Wars: Episode III - Revenge of the Sith,Action|Adventure|Fantasy,848754768,113000000,735754768,2005,7.6,https://m.media-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_.jpg,"[['#090608', 0.6705090558087384], ['#81513c', 0.21619613082320602], ['#c9b4b1', 0.11329481336805555]]",#090608
The Hobbit: The Desolation of Smaug,Adventure|Fantasy,960366855,225000000,735366855,2013,7.8,https://m.media-amazon.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_.jpg,"[['#0b0a06', 0.6321195922145953], ['#604b34', 0.2441850783507948], ['#c39f79', 0.12369532943460983]]",#0b0a06
The Hunger Games: Catching Fire,Action|Adventure|Sci-Fi,864912963,130000000,734912963,2013,7.5,https://m.media-amazon.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_.jpg,"[['#120202', 0.6989986347910637], ['#8e2513', 0.22068227941841534], ['#e4b37e', 0.08031908579052098]]",#120202
Deadpool,Action|Adventure|Comedy,783112979,58000000,725112979,2016,8,https://m.media-amazon.com/images/M/MV5BYzE5MjY1ZDgtMTkyNC00MTMyLThhMjAtZGI5OTE1NzFlZGJjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,"[['#170b10', 0.42973], ['#fdfdfd', 0.355808], ['#843946', 0.214462]]",#170b10
The Twilight Saga: Breaking Dawn - Part 2,Adventure|Drama|Fantasy,832660037,120000000,712660037,2012,5.5,https://m.media-amazon.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_.jpg,"[['#0e0b0e', 0.7489944656747467], ['#ac998a', 0.09967438494934877], ['#514747', 0.1513311493759045]]",#0e0b0e
The Twilight Saga: Breaking Dawn - Part 2,Adventure|Drama|Fantasy,832660037,120000000,712660037,2012,5.5,https://m.media-amazon.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_.jpg,"[['#0e0b0e', 0.7489944656747467], ['#ac998a', 0.09967438494934877], ['#514747', 0.1513311493759045]]",#0e0b0e
The Hobbit: The Battle of the Five Armies,Adventure|Fantasy,956019788,250000000,706019788,2014,7.4,https://m.media-amazon.com/images/M/MV5BODAzMDgxMDc1MF5BMl5BanBnXkFtZTgwMTI0OTAzMjE@._V1_.jpg,"[['#080908', 0.5786540740740741], ['#b7c4cb', 0.2264737037037037], ['#5d6260', 0.19487222222222222]]",#080908
Harry Potter and the Half-Blood Prince,Adventure|Family|Fantasy,934416487,250000000,684416487,2009,7.6,https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_.jpg,"[['#bed5d6', 0.16703851538968373], ['#090d13', 0.5657675869493599], ['#466b75', 0.2671938976609563]]",#090d13
Spider-Man,Action|Adventure|Sci-Fi,821708551,139000000,682708551,2002,7.3,https://m.media-amazon.com/images/M/MV5BZDEyN2NhMjgtMjdhNi00MmNlLWE5YTgtZGE4MzNjMTRlMGEwXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_.jpg,"[['#bb6925', 0.445048664480761], ['#391a16', 0.38646207280880235], ['#f6e291', 0.16848926271043663]]",#bb6925
Inside Out,Adventure|Animation|Comedy,857611174,175000000,682611174,2015,8.2,https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_.jpg,"[['#35354a', 0.4715693377605481], ['#dbddaa', 0.2521652491109516], ['#5c76c3', 0.2762654131285002]]",#35354a
Pirates of the Caribbean: On Stranger Tides,Action|Adventure|Fantasy,1045713802,378500000,667213802,2011,6.6,https://m.media-amazon.com/images/M/MV5BMjE5MjkwODI3Nl5BMl5BanBnXkFtZTcwNjcwMDk4NA@@._V1_.jpg,"[['#62563e', 0.3122409009303085], ['#1a1b16', 0.5070208367335836], ['#beab7e', 0.18073826233610793]]",#1a1b16
Harry Potter and the Prisoner of Azkaban,Adventure|Family|Fantasy,796688549,130000000,666688549,2004,7.9,https://m.media-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_.jpg,"[['#57636b', 0.1841828604467509], ['#b7bac0', 0.13774255415162454], ['#040608', 0.6780745854016246]]",#040608
Inception,Action|Adventure|Sci-Fi,825532764,160000000,665532764,2010,8.8,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg,"[['#03101b', 0.49679294668687146], ['#295468', 0.32491665518666485], ['#92b2bf', 0.1782903981264637]]",#03101b
Pirates of the Caribbean: At World's End,Action|Adventure|Fantasy,963420425,300000000,663420425,2007,7.1,https://m.media-amazon.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_.jpg,"[['#4a515b', 0.32408074741408077], ['#e5e8ee', 0.4784617951284618], ['#9b9faa', 0.19745745745745746]]",#e5e8ee
The Twilight Saga: New Moon,Adventure|Drama|Fantasy,709827462,50000000,659827462,2009,4.7,https://m.media-amazon.com/images/M/MV5BMTI3MjE3NDIxNF5BMl5BanBnXkFtZTcwODM3NTY5Mg@@._V1_.jpg,"[['#4b3724', 0.24701047687861272], ['#b8936d', 0.040727962427745665], ['#180f09', 0.7122615606936417]]",#180f09
Shrek the Third,Adventure|Animation|Comedy,798958162,160000000,638958162,2007,6.1,https://m.media-amazon.com/images/M/MV5BOTgyMjc3ODk2MV5BMl5BanBnXkFtZTcwMjY0MjEzMw@@._V1_.jpg,"[['#626940', 0.3531396979015919], ['#e9eee7', 0.3117969032651954], ['#73a8cd', 0.33506339883321273]]",#626940
Transformers: Revenge of the Fallen,Action|Adventure|Sci-Fi,836303693,200000000,636303693,2009,6,https://m.media-amazon.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_.jpg,"[['#0a0b12', 0.6741556479513386], ['#afae90', 0.08229093648245296], ['#3b4756', 0.24355341556620838]]",#0a0b12
Spectre,Action|Adventure|Thriller,880674175,245000000,635674175,2015,6.8,https://m.media-amazon.com/images/M/MV5BOWQ1MDE1NzgtNTQ4OC00ZjliLTllZDAtN2IyOTVmMTc5YjUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"[['#1d2a37', 0.7461103981572886], ['#e1e0e3', 0.16552615992102665], ['#727678', 0.08836344192168477]]",#1d2a37
The Da Vinci Code,Mystery|Thriller,758239851,125000000,633239851,2006,6.6,https://m.media-amazon.com/images/M/MV5BMjIxMjQyMTc3Nl5BMl5BanBnXkFtZTcwMTA1MDUzMw@@._V1_.jpg,"[['#bcb1a7', 0.2390546279275599], ['#160e11', 0.46672560083061004], ['#514b4a', 0.2942197712418301]]",#160e11
Spider-Man 3,Action|Adventure|Sci-Fi,890871626,258000000,632871626,2007,6.2,https://m.media-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,"[['#605c5e', 0.32133452914798205], ['#14151b', 0.5027922272047832], ['#c3b49a', 0.17587324364723467]]",#14151b
Spider-Man 3,Action|Adventure|Sci-Fi,890871626,258000000,632871626,2007,6.2,https://m.media-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,"[['#605c5e', 0.32133452914798205], ['#14151b', 0.5027922272047832], ['#c3b49a', 0.17587324364723467]]",#14151b
The Sixth Sense,Drama|Mystery|Thriller,672806292,40000000,632806292,1999,8.1,https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_.jpg,"[['#592e1f', 0.023561569688768606], ['#05080d', 0.9642165087956698], ['#d19e4f', 0.01222192151556157]]",#05080d
The Twilight Saga: Eclipse,Adventure|Drama|Fantasy,698491347,68000000,630491347,2010,5,https://m.media-amazon.com/images/M/MV5BNDMwNjAzNzYwOF5BMl5BanBnXkFtZTcwMDY5NzcyMw@@._V1_.jpg,"[['#0c151d', 0.8223867271989906], ['#beb2a8', 0.0590394342555876], ['#555355', 0.11857383854542178]]",#0c151d
The Hunger Games: Mockingjay - Part 1,Action|Adventure|Sci-Fi,755356711,125000000,630356711,2014,6.6,https://m.media-amazon.com/images/M/MV5BMTcxNDI2NDAzNl5BMl5BanBnXkFtZTgwODM3MTc2MjE@._V1_.jpg,"[['#953212', 0.20134478528674832], ['#1a0605', 0.6646595298580178], ['#e6af57', 0.13399568485523386]]",#1a0605
Batman v Superman: Dawn of Justice,Action|Adventure|Fantasy,873634919,250000000,623634919,2016,6.5,https://m.media-amazon.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#0b0a0e', 0.524871497937872], ['#c0d4d8', 0.24828812905060849], ['#844c5b', 0.22684037301151946]]",#0b0a0e
Gravity,Drama|Sci-Fi|Thriller,723192705,100000000,623192705,2013,7.7,https://m.media-amazon.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_.jpg,"[['#020914', 0.6983320664249796], ['#c7d7e1', 0.13114548006081161], ['#415f75', 0.17052245351420886]]",#020914
Forrest Gump,Drama|Romance,677945399,55000000,622945399,1994,8.8,https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#fbfcfc', 0.8070209249881486], ['#4f3739', 0.10394708277398974], ['#b9abaa', 0.08903199223786169]]",#fbfcfc
The Hunger Games,Action|Adventure|Sci-Fi,694394724,78000000,616394724,2012,7.2,https://m.media-amazon.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_.jpg,"[['#160502', 0.6891584603382779], ['#da9f43', 0.11292086875904486], ['#892d14', 0.1979206709026773]]",#160502
